===== 市區公車在斗六火車站的人流時段分析 =====

--- 各時段每5分鐘詳細流量 ---

時段: 清晨 (00:00-05:55)
  時間: 00:15 -> 平日(上車:9, 下車:46), 假日(上車:1, 下車:20)
  時間: 00:20 -> 平日(上車:4, 下車:46), 假日(上車:6, 下車:11)
  時間: 05:55 -> 平日(上車:5, 下車:8), 假日(上車:1, 下車:2)

時段: 上午 (06:00-11:55)
  時間: 06:35 -> 平日(上車:5, 下車:0), 假日(上車:5, 下車:0)
  時間: 06:40 -> 平日(上車:54, 下車:69), 假日(上車:4, 下車:15)
  時間: 07:10 -> 平日(上車:191, 下車:24), 假日(上車:25, 下車:21)
  時間: 07:15 -> 平日(上車:52, 下車:2), 假日(上車:14, 下車:2)
  時間: 07:30 -> 平日(上車:0, 下車:8), 假日(上車:0, 下車:12)
  時間: 07:35 -> 平日(上車:1, 下車:4), 假日(上車:0, 下車:6)
  時間: 07:40 -> 平日(上車:139, 下車:176), 假日(上車:124, 下車:123)
  時間: 07:45 -> 平日(上車:598, 下車:931), 假日(上車:34, 下車:51)
  時間: 07:50 -> 平日(上車:216, 下車:167), 假日(上車:14, 下車:9)
  時間: 08:10 -> 平日(上車:39, 下車:50), 假日(上車:36, 下車:27)
  時間: 08:15 -> 平日(上車:508, 下車:352), 假日(上車:164, 下車:91)
  時間: 08:20 -> 平日(上車:124, 下車:141), 假日(上車:16, 下車:27)
  時間: 08:25 -> 平日(上車:5, 下車:10), 假日(上車:3, 下車:0)
  時間: 08:40 -> 平日(上車:285, 下車:173), 假日(上車:76, 下車:107)
  時間: 08:45 -> 平日(上車:257, 下車:149), 假日(上車:73, 下車:106)
  時間: 08:50 -> 平日(上車:20, 下車:33), 假日(上車:7, 下車:10)
  時間: 08:55 -> 平日(上車:83, 下車:30), 假日(上車:22, 下車:29)
  時間: 09:00 -> 平日(上車:295, 下車:82), 假日(上車:41, 下車:60)
  時間: 09:05 -> 平日(上車:132, 下車:28), 假日(上車:39, 下車:24)
  時間: 09:10 -> 平日(上車:52, 下車:31), 假日(上車:43, 下車:49)
  時間: 09:15 -> 平日(上車:14, 下車:23), 假日(上車:26, 下車:34)
  時間: 09:20 -> 平日(上車:19, 下車:50), 假日(上車:14, 下車:30)
  時間: 09:25 -> 平日(上車:214, 下車:138), 假日(上車:35, 下車:91)
  時間: 09:30 -> 平日(上車:59, 下車:28), 假日(上車:11, 下車:9)
  時間: 09:35 -> 平日(上車:13, 下車:6), 假日(上車:0, 下車:4)
  時間: 09:40 -> 平日(上車:0, 下車:0), 假日(上車:2, 下車:6)
  時間: 09:45 -> 平日(上車:76, 下車:75), 假日(上車:47, 下車:56)
  時間: 09:50 -> 平日(上車:11, 下車:8), 假日(上車:9, 下車:13)
  時間: 09:55 -> 平日(上車:12, 下車:9), 假日(上車:0, 下車:1)
  時間: 10:00 -> 平日(上車:365, 下車:195), 假日(上車:163, 下車:135)
  時間: 10:05 -> 平日(上車:278, 下車:103), 假日(上車:63, 下車:31)
  時間: 10:10 -> 平日(上車:42, 下車:38), 假日(上車:6, 下車:8)
  時間: 10:15 -> 平日(上車:4, 下車:15), 假日(上車:4, 下車:12)
  時間: 10:20 -> 平日(上車:33, 下車:24), 假日(上車:0, 下車:5)
  時間: 10:25 -> 平日(上車:170, 下車:94), 假日(上車:29, 下車:58)
  時間: 10:30 -> 平日(上車:168, 下車:59), 假日(上車:46, 下車:54)
  時間: 10:35 -> 平日(上車:20, 下車:9), 假日(上車:24, 下車:3)
  時間: 10:40 -> 平日(上車:6, 下車:7), 假日(上車:1, 下車:7)
  時間: 10:45 -> 平日(上車:38, 下車:57), 假日(上車:24, 下車:30)
  時間: 10:50 -> 平日(上車:31, 下車:52), 假日(上車:8, 下車:4)
  時間: 10:55 -> 平日(上車:20, 下車:10), 假日(上車:2, 下車:10)
  時間: 11:00 -> 平日(上車:321, 下車:134), 假日(上車:74, 下車:113)
  時間: 11:05 -> 平日(上車:130, 下車:46), 假日(上車:75, 下車:57)
  時間: 11:10 -> 平日(上車:35, 下車:66), 假日(上車:51, 下車:43)
  時間: 11:15 -> 平日(上車:24, 下車:31), 假日(上車:17, 下車:34)
  時間: 11:20 -> 平日(上車:13, 下車:20), 假日(上車:4, 下車:3)
  時間: 11:25 -> 平日(上車:98, 下車:37), 假日(上車:40, 下車:55)
  時間: 11:30 -> 平日(上車:117, 下車:51), 假日(上車:35, 下車:36)
  時間: 11:35 -> 平日(上車:9, 下車:3), 假日(上車:2, 下車:0)
  時間: 11:40 -> 平日(上車:0, 下車:1), 假日(上車:1, 下車:0)
  時間: 11:45 -> 平日(上車:268, 下車:116), 假日(上車:72, 下車:56)
  時間: 11:50 -> 平日(上車:66, 下車:57), 假日(上車:54, 下車:6)
  時間: 11:55 -> 平日(上車:5, 下車:1), 假日(上車:0, 下車:0)

時段: 下午 (12:00-17:55)
